InvoiceNo,ShipmentProvider,WarehouseLocation,OrderPriority,ReturnStatus,PaymentMethod
878263,DHL,Amsterdam,Medium,Not Returned,paypall
699255,UPS,Paris,Low,Returned,paypall
988886,DHL,Amsterdam,Low,Not Returned,paypall
633784,Royal Mail,Paris,High,Not Returned,Credit Card
844227,Royal Mail,Paris,High,Not Returned,Credit Card
794598,DHL,Amsterdam,High,Not Returned,paypall
146025,UPS,Amsterdam,High,Not Returned,paypall
360281,Royal Mail,Berlin,Low,Not Returned,paypall
422030,Royal Mail,Amsterdam,Low,Not Returned,paypall
516779,FedEx,Amsterdam,High,Not Returned,Bank Transfer
890144,UPS,London,Low,Not Returned,paypall
456211,FedEx,Paris,Low,Not Returned,Credit Card
407633,FedEx,Amsterdam,High,Not Returned,paypall
132664,FedEx,Rome,Low,Not Returned,paypall
866159,Royal Mail,Rome,Low,Not Returned,paypall
243492,UPS,Paris,High,Not Returned,Credit Card
891747,Royal Mail,Berlin,Medium,Not Returned,Credit Card
564133,UPS,London,Low,Returned,paypall
961465,DHL,Amsterdam,High,Not Returned,Credit Card
325648,FedEx,Berlin,Low,Not Returned,paypall
742150,Royal Mail,Paris,Low,Not Returned,Credit Card
591127,FedEx,Amsterdam,Low,Not Returned,Credit Card
703318,FedEx,Amsterdam,Low,Not Returned,paypall
163910,DHL,Rome,Low,Not Returned,Bank Transfer
852648,FedEx,Amsterdam,Medium,Not Returned,Credit Card
846253,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
418063,FedEx,London,Medium,Not Returned,paypall
836648,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
596142,DHL,Paris,Low,Not Returned,Credit Card
497348,Royal Mail,Berlin,Low,Not Returned,Credit Card
489297,FedEx,Amsterdam,Medium,Not Returned,paypall
141598,FedEx,Berlin,High,Not Returned,Credit Card
587028,UPS,London,Low,Not Returned,Bank Transfer
598515,FedEx,Rome,High,Not Returned,Credit Card
954638,FedEx,Berlin,Medium,Not Returned,Bank Transfer
437044,UPS,Paris,High,Not Returned,Bank Transfer
126296,Royal Mail,Rome,Low,Not Returned,Bank Transfer
249138,Royal Mail,Paris,High,Returned,Credit Card
259964,UPS,Berlin,Medium,Not Returned,Bank Transfer
699865,DHL,Amsterdam,Low,Not Returned,paypall
829950,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
701461,FedEx,Amsterdam,High,Not Returned,Credit Card
569509,Royal Mail,Paris,Low,Not Returned,Bank Transfer
164771,FedEx,London,Medium,Not Returned,Credit Card
600010,UPS,Amsterdam,Low,Not Returned,Credit Card
964297,FedEx,Berlin,High,Not Returned,paypall
199074,FedEx,Rome,Low,Not Returned,Credit Card
623136,FedEx,London,Medium,Not Returned,Bank Transfer
520331,UPS,Paris,Medium,Not Returned,paypall
781398,UPS,Paris,Medium,Returned,paypall
660910,FedEx,Berlin,Low,Not Returned,paypall
398030,DHL,Paris,Medium,Not Returned,Bank Transfer
240973,UPS,London,Low,Not Returned,Bank Transfer
942809,Royal Mail,Paris,High,Not Returned,Credit Card
182910,Royal Mail,London,Low,Not Returned,Credit Card
280934,FedEx,London,Medium,Not Returned,Credit Card
481136,DHL,Amsterdam,Medium,Returned,Bank Transfer
613271,FedEx,Berlin,Low,Not Returned,Credit Card
605042,DHL,London,High,Not Returned,Credit Card
263878,Royal Mail,Berlin,Low,Returned,Bank Transfer
773019,DHL,Amsterdam,Low,Not Returned,Bank Transfer
254525,UPS,Rome,Low,Not Returned,Credit Card
563609,UPS,Berlin,Medium,Not Returned,Credit Card
902744,FedEx,Amsterdam,Low,Not Returned,paypall
887868,DHL,Rome,Low,Not Returned,Bank Transfer
914001,UPS,Amsterdam,High,Not Returned,Bank Transfer
552029,UPS,Berlin,Low,Not Returned,Credit Card
741075,DHL,Paris,Low,Not Returned,paypall
714773,FedEx,London,Low,Not Returned,paypall
801346,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
464699,UPS,Rome,Medium,Not Returned,Credit Card
808537,DHL,London,High,Not Returned,Credit Card
502521,Royal Mail,Rome,Medium,Not Returned,Credit Card
132646,Royal Mail,Amsterdam,High,Not Returned,Credit Card
176126,DHL,Amsterdam,Medium,Not Returned,paypall
614116,DHL,Paris,High,Not Returned,paypall
742210,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
355217,FedEx,Amsterdam,Medium,Not Returned,Credit Card
926862,DHL,Paris,Low,Not Returned,Bank Transfer
484382,UPS,Amsterdam,Low,Not Returned,Bank Transfer
692947,FedEx,London,Medium,Not Returned,paypall
739629,DHL,London,Low,Not Returned,paypall
628446,FedEx,Berlin,Low,Not Returned,Credit Card
174236,FedEx,London,Medium,Not Returned,Credit Card
176067,FedEx,London,High,Not Returned,Credit Card
783098,Royal Mail,London,High,Not Returned,paypall
109879,DHL,Rome,Low,Not Returned,paypall
236615,UPS,Paris,Medium,Not Returned,Credit Card
736572,UPS,London,Medium,Not Returned,Bank Transfer
278996,FedEx,Berlin,Medium,Not Returned,Credit Card
535564,UPS,Amsterdam,Low,Not Returned,paypall
446261,DHL,London,Low,Not Returned,paypall
310190,DHL,Amsterdam,High,Not Returned,Bank Transfer
668176,UPS,Berlin,Low,Not Returned,Credit Card
916708,DHL,Berlin,Low,Not Returned,Bank Transfer
629087,UPS,Amsterdam,Medium,Not Returned,paypall
583843,FedEx,Paris,High,Not Returned,Bank Transfer
849130,FedEx,Amsterdam,High,Not Returned,Credit Card
474673,FedEx,Rome,Medium,Not Returned,Bank Transfer
613264,UPS,Berlin,Medium,Not Returned,Bank Transfer
190141,UPS,Rome,Low,Not Returned,Credit Card
477157,UPS,Rome,Medium,Not Returned,paypall
393812,DHL,Rome,High,Not Returned,Bank Transfer
235183,Royal Mail,Berlin,Medium,Not Returned,paypall
517902,Royal Mail,Rome,Medium,Not Returned,Bank Transfer
303623,Royal Mail,Amsterdam,Medium,Not Returned,paypall
958824,DHL,Amsterdam,High,Not Returned,paypall
116490,DHL,London,Low,Not Returned,Bank Transfer
528410,DHL,Berlin,High,Not Returned,paypall
874426,UPS,Berlin,Medium,Returned,paypall
546732,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
741507,DHL,Amsterdam,High,Not Returned,Credit Card
581946,FedEx,Berlin,High,Not Returned,Credit Card
668392,DHL,Rome,Medium,Not Returned,Credit Card
629604,UPS,Berlin,Low,Not Returned,Bank Transfer
138130,FedEx,Rome,High,Not Returned,paypall
563445,DHL,Berlin,Medium,Not Returned,paypall
469438,FedEx,Berlin,Low,Not Returned,Credit Card
916386,Royal Mail,Rome,High,Not Returned,paypall
475581,UPS,Rome,Low,Not Returned,Credit Card
245250,DHL,Amsterdam,Low,Not Returned,Credit Card
282235,FedEx,Berlin,Medium,Not Returned,Credit Card
687453,Royal Mail,London,High,Not Returned,Bank Transfer
504696,DHL,Amsterdam,High,Not Returned,paypall
820799,FedEx,Paris,Medium,Not Returned,paypall
537090,DHL,Amsterdam,Low,Not Returned,Bank Transfer
859893,UPS,Paris,Low,Not Returned,paypall
691063,UPS,Paris,Medium,Returned,Bank Transfer
499782,DHL,London,Medium,Not Returned,paypall
447455,UPS,London,High,Returned,paypall
595733,DHL,Berlin,Low,Not Returned,Bank Transfer
677437,DHL,Paris,High,Returned,Bank Transfer
434705,Royal Mail,Berlin,Low,Not Returned,paypall
512639,UPS,Amsterdam,Medium,Not Returned,Bank Transfer
714998,FedEx,Berlin,High,Not Returned,Bank Transfer
192199,UPS,Rome,Low,Not Returned,Credit Card
265024,FedEx,Berlin,High,Not Returned,paypall
651614,UPS,London,Medium,Not Returned,Credit Card
131139,UPS,Rome,High,Not Returned,Credit Card
817463,UPS,Rome,High,Not Returned,Bank Transfer
605950,Royal Mail,Berlin,Medium,Not Returned,Bank Transfer
291929,DHL,Paris,Low,Not Returned,Credit Card
435782,DHL,Paris,High,Not Returned,paypall
434796,UPS,London,High,Not Returned,Credit Card
637225,Royal Mail,Rome,Low,Not Returned,Bank Transfer
358006,DHL,Amsterdam,Low,Not Returned,paypall
916593,FedEx,London,High,Not Returned,Credit Card
972288,UPS,Amsterdam,High,Not Returned,Bank Transfer
609603,UPS,London,Medium,Returned,paypall
432187,Royal Mail,Paris,High,Not Returned,paypall
770095,DHL,Paris,Low,Not Returned,Bank Transfer
159919,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
444199,Royal Mail,Paris,High,Not Returned,Credit Card
560777,Royal Mail,Paris,High,Not Returned,Bank Transfer
971887,DHL,Paris,Low,Not Returned,paypall
530838,FedEx,Amsterdam,Low,Returned,Credit Card
400279,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
791018,Royal Mail,London,Medium,Not Returned,Credit Card
971109,DHL,Berlin,Low,Not Returned,Bank Transfer
391840,DHL,Paris,High,Not Returned,Credit Card
234845,Royal Mail,Rome,Medium,Not Returned,paypall
124956,FedEx,Amsterdam,High,Not Returned,Bank Transfer
902251,FedEx,London,Medium,Not Returned,Credit Card
363672,UPS,Amsterdam,High,Not Returned,paypall
489925,Royal Mail,London,Medium,Not Returned,Credit Card
186491,Royal Mail,Rome,High,Not Returned,Credit Card
144588,UPS,Amsterdam,Medium,Not Returned,Credit Card
301657,DHL,Rome,Low,Not Returned,paypall
199152,UPS,Paris,High,Returned,Credit Card
752160,FedEx,Amsterdam,High,Not Returned,Bank Transfer
513727,Royal Mail,London,Medium,Not Returned,Credit Card
896551,UPS,Amsterdam,Low,Not Returned,paypall
438037,Royal Mail,London,Low,Not Returned,paypall
116167,FedEx,Paris,Medium,Not Returned,paypall
811863,UPS,Berlin,High,Returned,Bank Transfer
210782,DHL,Amsterdam,High,Returned,paypall
581005,UPS,Berlin,Medium,Returned,Bank Transfer
230775,FedEx,Berlin,High,Not Returned,Credit Card
134889,DHL,London,Medium,Not Returned,Credit Card
407822,FedEx,Amsterdam,High,Not Returned,Bank Transfer
326406,FedEx,Berlin,Low,Not Returned,paypall
684550,UPS,London,Medium,Not Returned,Credit Card
235753,DHL,Amsterdam,Medium,Not Returned,paypall
704579,UPS,Paris,Medium,Not Returned,Credit Card
690296,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
871835,DHL,Paris,High,Not Returned,paypall
329489,UPS,London,Medium,Not Returned,Credit Card
506906,UPS,Paris,High,Not Returned,paypall
912344,FedEx,Rome,Medium,Not Returned,Bank Transfer
368617,DHL,Amsterdam,High,Not Returned,paypall
796658,DHL,Paris,Medium,Not Returned,Bank Transfer
511885,UPS,Rome,Medium,Not Returned,paypall
985932,UPS,Paris,Medium,Not Returned,paypall
925217,FedEx,Amsterdam,Medium,Not Returned,paypall
725244,Royal Mail,Amsterdam,Medium,Returned,Credit Card
294499,Royal Mail,Paris,Low,Not Returned,Bank Transfer
623764,FedEx,London,Medium,Not Returned,paypall
293073,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
817084,DHL,Paris,Low,Not Returned,Credit Card
481150,UPS,Paris,High,Not Returned,Credit Card
372976,DHL,Amsterdam,High,Not Returned,Credit Card
589114,Royal Mail,Berlin,Low,Not Returned,Credit Card
245780,DHL,Paris,Low,Not Returned,Credit Card
551816,DHL,Paris,Low,Not Returned,Credit Card
444891,FedEx,London,Medium,Not Returned,Credit Card
966539,Royal Mail,London,Low,Not Returned,Credit Card
815422,UPS,Rome,Low,Not Returned,Credit Card
427572,FedEx,Berlin,Medium,Not Returned,Bank Transfer
973275,UPS,Paris,Low,Not Returned,Credit Card
111002,UPS,Amsterdam,Medium,Returned,paypall
953933,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
132556,FedEx,Paris,High,Not Returned,paypall
692251,DHL,London,Low,Not Returned,Credit Card
594361,DHL,Amsterdam,High,Not Returned,Credit Card
321746,DHL,Paris,High,Not Returned,Credit Card
106563,UPS,Berlin,Medium,Not Returned,paypall
310995,DHL,Amsterdam,High,Not Returned,Bank Transfer
892272,FedEx,London,Low,Not Returned,Bank Transfer
639442,DHL,Amsterdam,Medium,Not Returned,paypall
648482,FedEx,Amsterdam,Low,Not Returned,paypall
820380,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
802221,UPS,Berlin,High,Not Returned,Credit Card
253520,FedEx,Paris,Low,Not Returned,paypall
589676,UPS,Berlin,Medium,Not Returned,Bank Transfer
909960,UPS,Berlin,Low,Not Returned,Bank Transfer
522618,DHL,Paris,Low,Not Returned,paypall
366496,UPS,Paris,Medium,Not Returned,Credit Card
362328,Royal Mail,Amsterdam,Low,Not Returned,paypall
376463,UPS,London,High,Not Returned,paypall
220497,Royal Mail,Berlin,Low,Not Returned,Credit Card
251521,UPS,Paris,Medium,Not Returned,Bank Transfer
418477,DHL,Rome,Medium,Not Returned,Bank Transfer
927637,FedEx,Amsterdam,Low,Not Returned,Credit Card
634714,DHL,Berlin,High,Not Returned,paypall
893936,Royal Mail,Paris,Medium,Returned,paypall
549794,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
813569,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
216775,Royal Mail,Berlin,High,Returned,Credit Card
133368,UPS,Paris,Low,Not Returned,Credit Card
866913,UPS,Paris,Medium,Not Returned,paypall
203841,UPS,Rome,High,Not Returned,Credit Card
590846,UPS,Paris,Medium,Not Returned,Credit Card
478888,DHL,Paris,Low,Not Returned,Credit Card
311293,Royal Mail,London,High,Not Returned,paypall
880371,DHL,London,Medium,Not Returned,paypall
108724,Royal Mail,London,High,Not Returned,Bank Transfer
498300,FedEx,London,Medium,Returned,Bank Transfer
790170,DHL,Berlin,High,Not Returned,paypall
968729,FedEx,Paris,Low,Not Returned,paypall
178872,FedEx,Rome,Medium,Not Returned,Credit Card
694621,FedEx,Berlin,High,Not Returned,Bank Transfer
824203,UPS,Berlin,Low,Not Returned,paypall
605241,Royal Mail,London,Medium,Returned,Credit Card
329176,UPS,Berlin,Medium,Not Returned,paypall
626884,DHL,Rome,High,Not Returned,Credit Card
903599,UPS,London,Low,Not Returned,Bank Transfer
187844,UPS,Amsterdam,Medium,Not Returned,Credit Card
872427,DHL,Paris,Medium,Not Returned,Credit Card
189751,FedEx,London,High,Not Returned,Credit Card
229817,FedEx,Rome,Medium,Not Returned,Bank Transfer
570547,FedEx,Rome,High,Not Returned,Bank Transfer
704808,Royal Mail,Rome,High,Not Returned,paypall
158326,Royal Mail,Rome,Medium,Not Returned,paypall
701958,UPS,Amsterdam,Low,Not Returned,Credit Card
623292,UPS,Amsterdam,High,Not Returned,Bank Transfer
766142,Royal Mail,Paris,High,Not Returned,Credit Card
273074,FedEx,Amsterdam,Low,Not Returned,paypall
842547,FedEx,Paris,Low,Not Returned,Credit Card
124022,DHL,Paris,High,Not Returned,Credit Card
184458,UPS,Paris,Low,Not Returned,Credit Card
248317,DHL,Paris,Medium,Not Returned,paypall
708084,DHL,London,High,Not Returned,Bank Transfer
503243,UPS,Berlin,Low,Not Returned,Bank Transfer
507202,FedEx,Rome,Medium,Not Returned,Credit Card
734992,FedEx,Rome,Medium,Not Returned,Bank Transfer
496742,Royal Mail,Paris,High,Not Returned,Credit Card
847157,UPS,Paris,High,Not Returned,Credit Card
406505,UPS,Berlin,Low,Not Returned,paypall
623518,UPS,Rome,Medium,Returned,paypall
924718,Royal Mail,London,High,Not Returned,Credit Card
129533,UPS,Amsterdam,High,Not Returned,Bank Transfer
332033,FedEx,London,High,Not Returned,Credit Card
249388,DHL,London,High,Not Returned,paypall
239771,Royal Mail,Berlin,High,Not Returned,Credit Card
834851,FedEx,Paris,High,Not Returned,Credit Card
751729,DHL,London,Medium,Returned,Bank Transfer
983511,DHL,London,Medium,Returned,Credit Card
200960,DHL,Paris,Medium,Not Returned,Bank Transfer
682753,Royal Mail,Paris,High,Not Returned,Credit Card
247745,UPS,Rome,High,Not Returned,Bank Transfer
385539,FedEx,Berlin,High,Not Returned,Bank Transfer
204162,FedEx,Rome,Low,Not Returned,Credit Card
230704,UPS,Amsterdam,High,Not Returned,Bank Transfer
254779,Royal Mail,London,Low,Not Returned,Credit Card
577965,FedEx,Amsterdam,High,Not Returned,paypall
175937,Royal Mail,Rome,High,Not Returned,Bank Transfer
753935,UPS,London,Medium,Not Returned,Credit Card
744938,DHL,Rome,High,Not Returned,paypall
492888,FedEx,London,Medium,Not Returned,paypall
842092,DHL,Berlin,Medium,Not Returned,Bank Transfer
811776,Royal Mail,London,Low,Not Returned,paypall
977944,Royal Mail,Berlin,High,Not Returned,Credit Card
239830,FedEx,London,Medium,Not Returned,paypall
691297,Royal Mail,London,Medium,Not Returned,Bank Transfer
506497,Royal Mail,Berlin,High,Not Returned,Bank Transfer
359188,DHL,Amsterdam,Medium,Not Returned,Credit Card
345340,FedEx,Paris,High,Not Returned,paypall
132548,Royal Mail,Rome,Low,Not Returned,paypall
642659,UPS,Paris,Low,Not Returned,Bank Transfer
468121,UPS,London,Medium,Not Returned,paypall
775004,UPS,Paris,Low,Not Returned,Bank Transfer
324731,FedEx,London,Low,Returned,Bank Transfer
254946,Royal Mail,London,Medium,Not Returned,Credit Card
581875,UPS,London,Low,Not Returned,Bank Transfer
638569,FedEx,Paris,Low,Not Returned,paypall
515505,FedEx,London,Low,Not Returned,Bank Transfer
351060,UPS,Rome,Low,Not Returned,Bank Transfer
498270,Royal Mail,Amsterdam,Low,Not Returned,paypall
200020,FedEx,Amsterdam,Medium,Not Returned,paypall
731796,UPS,London,Low,Not Returned,paypall
605626,DHL,Paris,Low,Not Returned,paypall
166846,Royal Mail,Amsterdam,High,Not Returned,Bank Transfer
456826,FedEx,Rome,High,Not Returned,paypall
542985,UPS,Amsterdam,High,Not Returned,Bank Transfer
391456,UPS,London,Low,Not Returned,Bank Transfer
589733,FedEx,London,High,Not Returned,Credit Card
476330,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
890689,FedEx,Paris,High,Not Returned,paypall
509062,Royal Mail,Paris,Medium,Not Returned,Bank Transfer
515699,Royal Mail,Berlin,Medium,Not Returned,Credit Card
650846,DHL,Berlin,High,Not Returned,paypall
667476,Royal Mail,London,High,Not Returned,Bank Transfer
768372,Royal Mail,Rome,High,Not Returned,Bank Transfer
657524,Royal Mail,Amsterdam,High,Returned,Credit Card
597425,UPS,London,Medium,Not Returned,Credit Card
669364,FedEx,Berlin,Low,Returned,Credit Card
410546,FedEx,Paris,High,Not Returned,paypall
456611,DHL,Amsterdam,Low,Not Returned,paypall
263148,Royal Mail,Paris,High,Not Returned,paypall
704625,DHL,London,Medium,Not Returned,Bank Transfer
215827,DHL,Amsterdam,Low,Not Returned,Bank Transfer
568380,DHL,Rome,High,Not Returned,Credit Card
698552,DHL,London,High,Not Returned,Bank Transfer
903767,UPS,Amsterdam,High,Not Returned,Bank Transfer
878060,UPS,Berlin,High,Not Returned,paypall
668061,Royal Mail,London,Medium,Not Returned,paypall
807518,Royal Mail,Rome,Low,Not Returned,paypall
390714,FedEx,Berlin,Low,Not Returned,paypall
187995,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
140658,FedEx,Paris,Medium,Not Returned,Credit Card
552400,FedEx,London,Low,Returned,Bank Transfer
482784,UPS,Paris,Low,Not Returned,Credit Card
959045,DHL,Paris,Low,Not Returned,paypall
420338,UPS,Paris,Medium,Not Returned,paypall
298579,FedEx,Amsterdam,Low,Not Returned,paypall
474016,Royal Mail,Berlin,Medium,Returned,Credit Card
546288,FedEx,Berlin,Low,Not Returned,paypall
800948,Royal Mail,Rome,Medium,Returned,paypall
994990,UPS,Paris,High,Not Returned,paypall
351953,DHL,Paris,High,Not Returned,Bank Transfer
168582,UPS,London,High,Not Returned,paypall
817103,UPS,Berlin,High,Not Returned,Credit Card
537734,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
243775,DHL,Berlin,Low,Returned,Bank Transfer
673744,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
679779,UPS,Berlin,Medium,Not Returned,Credit Card
370187,Royal Mail,Rome,Medium,Not Returned,paypall
465356,Royal Mail,Amsterdam,High,Not Returned,paypall
618943,FedEx,Berlin,Low,Not Returned,Bank Transfer
864291,UPS,Amsterdam,Low,Not Returned,Credit Card
430484,UPS,Paris,Low,Not Returned,paypall
241248,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
497152,DHL,Berlin,Low,Not Returned,Bank Transfer
655462,FedEx,Paris,Medium,Not Returned,Credit Card
444776,UPS,London,Medium,Not Returned,Credit Card
450912,Royal Mail,Berlin,Medium,Not Returned,Credit Card
732465,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
650197,DHL,Amsterdam,Low,Not Returned,Bank Transfer
144158,DHL,Rome,Medium,Not Returned,Bank Transfer
763726,Royal Mail,Amsterdam,Medium,Not Returned,Credit Card
316197,UPS,Paris,Low,Not Returned,Credit Card
809697,UPS,Amsterdam,Low,Not Returned,Credit Card
945763,FedEx,Paris,Medium,Not Returned,Bank Transfer
885772,UPS,London,High,Not Returned,Bank Transfer
868278,Royal Mail,London,High,Not Returned,Credit Card
827402,FedEx,Paris,Low,Not Returned,paypall
544140,DHL,Rome,Medium,Returned,Credit Card
522058,Royal Mail,Paris,High,Not Returned,paypall
772818,UPS,Rome,Medium,Returned,paypall
187367,FedEx,Paris,Medium,Not Returned,Bank Transfer
427526,FedEx,Paris,High,Not Returned,Credit Card
174319,FedEx,Berlin,Medium,Not Returned,Bank Transfer
373314,UPS,Paris,Medium,Not Returned,paypall
744240,Royal Mail,Berlin,Low,Returned,Bank Transfer
704433,Royal Mail,Rome,High,Not Returned,Credit Card
886427,DHL,Amsterdam,Medium,Not Returned,Bank Transfer
992058,Royal Mail,Paris,High,Not Returned,Credit Card
319643,DHL,London,High,Not Returned,Bank Transfer
902640,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
790538,FedEx,Berlin,Low,Not Returned,paypall
310244,FedEx,Amsterdam,Medium,Not Returned,paypall
764399,FedEx,Rome,Medium,Not Returned,Bank Transfer
114990,DHL,Berlin,High,Not Returned,Bank Transfer
761801,UPS,Berlin,High,Returned,paypall
616641,UPS,Amsterdam,Low,Not Returned,paypall
229327,UPS,London,High,Not Returned,paypall
965746,FedEx,London,Medium,Not Returned,Bank Transfer
389006,FedEx,Paris,Medium,Not Returned,paypall
520489,DHL,London,Low,Returned,Bank Transfer
980381,DHL,Rome,Low,Not Returned,Bank Transfer
754511,FedEx,Berlin,Low,Not Returned,Bank Transfer
890388,UPS,Berlin,High,Not Returned,paypall
303161,FedEx,Berlin,Low,Not Returned,Credit Card
450933,DHL,Paris,Medium,Not Returned,Bank Transfer
451595,DHL,Amsterdam,Medium,Not Returned,paypall
217782,FedEx,Paris,High,Not Returned,Credit Card
888797,UPS,Paris,Low,Not Returned,Credit Card
434348,DHL,Rome,Low,Not Returned,Bank Transfer
498216,UPS,Rome,Medium,Returned,Credit Card
943504,DHL,Paris,Low,Not Returned,paypall
152499,DHL,London,High,Not Returned,Bank Transfer
357023,FedEx,London,Medium,Not Returned,Bank Transfer
431355,FedEx,Rome,Low,Not Returned,Bank Transfer
243979,DHL,Berlin,High,Not Returned,Credit Card
248408,Royal Mail,Amsterdam,High,Not Returned,paypall
971652,FedEx,London,High,Not Returned,Credit Card
980279,UPS,Berlin,Medium,Not Returned,paypall
807691,FedEx,Berlin,High,Not Returned,paypall
471603,DHL,Amsterdam,Medium,Returned,Bank Transfer
439899,Royal Mail,Berlin,Low,Not Returned,Bank Transfer
430927,FedEx,London,Low,Not Returned,Bank Transfer
825311,UPS,Berlin,Medium,Not Returned,Credit Card
807869,UPS,London,High,Not Returned,Credit Card
892904,Royal Mail,Paris,High,Not Returned,paypall
515596,DHL,London,Low,Not Returned,paypall
465296,FedEx,Paris,Low,Not Returned,Bank Transfer
258352,FedEx,London,Medium,Not Returned,Bank Transfer
252931,FedEx,Amsterdam,Medium,Not Returned,Bank Transfer
330413,UPS,Paris,Low,Returned,Credit Card
541618,UPS,Rome,Medium,Not Returned,Credit Card
239334,Royal Mail,Paris,Low,Not Returned,Bank Transfer
246626,UPS,Paris,Medium,Not Returned,Bank Transfer
631296,FedEx,Berlin,Low,Not Returned,paypall
974283,UPS,Rome,Medium,Not Returned,Bank Transfer
180799,UPS,Rome,High,Not Returned,paypall
902670,Royal Mail,Amsterdam,Medium,Not Returned,Bank Transfer
335018,Royal Mail,Rome,Low,Not Returned,Bank Transfer
379297,FedEx,Rome,Low,Not Returned,Bank Transfer
159353,Royal Mail,Paris,High,Not Returned,paypall
676380,DHL,London,High,Not Returned,Bank Transfer
343907,UPS,London,High,Not Returned,paypall
798512,FedEx,Berlin,High,Not Returned,Credit Card
673392,UPS,Amsterdam,Medium,Not Returned,paypall
255355,FedEx,Rome,Low,Not Returned,paypall
539645,Royal Mail,Paris,Medium,Not Returned,Credit Card
843894,Royal Mail,Rome,Low,Not Returned,Bank Transfer
128887,DHL,Amsterdam,Medium,Not Returned,paypall
539388,DHL,Amsterdam,High,Returned,Credit Card
890787,DHL,Rome,High,Not Returned,Bank Transfer
395845,FedEx,London,Medium,Not Returned,Credit Card
272606,FedEx,Berlin,Medium,Not Returned,Bank Transfer
351420,Royal Mail,Berlin,High,Returned,Bank Transfer
695730,FedEx,London,Medium,Not Returned,Credit Card
636567,UPS,London,High,Returned,paypall
798851,DHL,Paris,Low,Not Returned,Credit Card
745026,Royal Mail,Berlin,Medium,Not Returned,Credit Card
569363,UPS,Rome,Low,Not Returned,Bank Transfer
763621,UPS,London,High,Not Returned,Bank Transfer
759834,DHL,Rome,High,Not Returned,paypall
715702,Royal Mail,Berlin,Low,Not Returned,Credit Card
914822,UPS,Berlin,Low,Not Returned,Bank Transfer
520141,FedEx,Rome,High,Not Returned,Credit Card
444318,FedEx,Paris,Medium,Not Returned,Credit Card
320079,FedEx,Berlin,Medium,Not Returned,Credit Card
629075,Royal Mail,Amsterdam,Low,Not Returned,paypall
342951,DHL,London,Low,Not Returned,Bank Transfer
304470,Royal Mail,Paris,Low,Not Returned,Credit Card
813537,DHL,Amsterdam,High,Not Returned,Credit Card
405868,Royal Mail,London,Medium,Not Returned,Credit Card
634951,DHL,Paris,High,Returned,Credit Card
509336,DHL,Paris,Low,Not Returned,Credit Card
778100,FedEx,London,High,Not Returned,Bank Transfer
595262,Royal Mail,Berlin,High,Returned,Credit Card
233107,DHL,London,Low,Not Returned,Credit Card
724559,UPS,Amsterdam,Low,Not Returned,paypall
691676,FedEx,Amsterdam,Low,Not Returned,Bank Transfer
152335,FedEx,London,Low,Not Returned,Credit Card
143315,Royal Mail,Berlin,High,Not Returned,Bank Transfer
991354,DHL,Amsterdam,High,Not Returned,paypall
408771,Royal Mail,Amsterdam,Low,Not Returned,Bank Transfer
501519,UPS,Berlin,Medium,Not Returned,Bank Transfer
602870,UPS,Paris,Low,Not Returned,Credit Card
149334,Royal Mail,London,Low,Not Returned,Bank Transfer
286964,FedEx,London,Medium,Not Returned,paypall
292268,FedEx,London,Medium,Not Returned,Bank Transfer
952132,FedEx,Berlin,High,Not Returned,paypall
139726,UPS,Paris,High,Not Returned,paypall
593657,UPS,Amsterdam,High,Not Returned,paypall
306823,FedEx,Amsterdam,High,Not Returned,paypall
804966,Royal Mail,Rome,Low,Not Returned,Bank Transfer
872333,Royal Mail,Paris,Medium,Not Returned,paypall
917126,FedEx,Berlin,High,Not Returned,Credit Card
262325,FedEx,Rome,Medium,Returned,Credit Card
779590,UPS,Rome,High,Not Returned,Credit Card
285046,UPS,Paris,Low,Not Returned,paypall
949977,DHL,London,Low,Not Returned,Bank Transfer
510141,DHL,Paris,Medium,Not Returned,Credit Card
892465,Royal Mail,Berlin,High,Not Returned,paypall
686749,FedEx,Amsterdam,Medium,Not Returned,paypall
889097,FedEx,Paris,Medium,Returned,Credit Card
389169,FedEx,London,High,Not Returned,Bank Transfer
516749,Royal Mail,Amsterdam,Low,Not Returned,Credit Card
